"host","path","full_url","mimeType","size","uncompressedSize","responseCode","ttfb","load","download_start","download_end","product","company","category","inititator"
"via-acsindep.ga","/","https://via-acsindep.ga/","HTML","4793","29918","200","74","120","252","298","via-acsindep.ga","Unknown","via-acsindep.ga","https://via-acsindep.ga/"
"d33wubrfki0l68.cloudfront.net","/css/dfd93fca984a05b4688e67d9ff2b69b087add44f/assets/css/style.css","https://d33wubrfki0l68.cloudfront.net/css/dfd93fca984a05b4688e67d9ff2b69b087add44f/assets/css/style.css","CSS","3825","13775","200","55","57","471","473","Fresh Relevance","Fresh Relevance","Analytics","https://via-acsindep.ga/"
"d33wubrfki0l68.cloudfront.net","/c5991bfb61e5b861538c0ac8cb455e0c022224db/2b159/assets/img/appicon.svg","https://d33wubrfki0l68.cloudfront.net/c5991bfb61e5b861538c0ac8cb455e0c022224db/2b159/assets/img/appicon.svg","Image","2337","8305","200","71","72","487","488","Fresh Relevance","Fresh Relevance","Analytics","https://via-acsindep.ga/"
"d33wubrfki0l68.cloudfront.net","/c70f92f694b40232f0367897ae171a2d2c3b7a54/313be/assets/img/bingoscreenshot2.png","https://d33wubrfki0l68.cloudfront.net/c70f92f694b40232f0367897ae171a2d2c3b7a54/313be/assets/img/bingoscreenshot2.png","Image","74775","74775","200","99","200","515","616","Fresh Relevance","Fresh Relevance","Analytics","https://via-acsindep.ga/"
"d33wubrfki0l68.cloudfront.net","/bundles/095349af4d695be52da90c71061dd32f71662d5d.js","https://d33wubrfki0l68.cloudfront.net/bundles/095349af4d695be52da90c71061dd32f71662d5d.js","Javascript","5354","31618","200","65","66","481","482","Fresh Relevance","Fresh Relevance","Analytics","https://via-acsindep.ga/"
"d33wubrfki0l68.cloudfront.net","/62f2033fa21ce47a842d169da42af3c032ddccde/f57d6/assets/img/bingoscreenshot1.png","https://d33wubrfki0l68.cloudfront.net/62f2033fa21ce47a842d169da42af3c032ddccde/f57d6/assets/img/bingoscreenshot1.png","Image","130305","130305","200","228","497","644","913","Fresh Relevance","Fresh Relevance","Analytics","https://via-acsindep.ga/"
"d33wubrfki0l68.cloudfront.net","/993c387375153b6d7252cf8708cce5d460cc7cec/25780/assets/img/onboarding.png","https://d33wubrfki0l68.cloudfront.net/993c387375153b6d7252cf8708cce5d460cc7cec/25780/assets/img/onboarding.png","Image","164727","164727","200","526","879","942","1295","Fresh Relevance","Fresh Relevance","Analytics","https://via-acsindep.ga/"
"d33wubrfki0l68.cloudfront.net","/0957e8f6c40a52dd70042842ad3dd26b93902f56/08525/assets/img/bingoroller.svg","https://d33wubrfki0l68.cloudfront.net/0957e8f6c40a52dd70042842ad3dd26b93902f56/08525/assets/img/bingoroller.svg","Image","2253","12477","200","818","819","1296","1297","Fresh Relevance","Fresh Relevance","Analytics","https://d33wubrfki0l68.cloudfront.net/css/dfd93fca984a05b4688e67d9ff2b69b087add44f/assets/css/style.css"
"d33wubrfki0l68.cloudfront.net","/0c380f0c0586abd74891478bbbc144a0356639f5/403ab/assets/fonts/arya-v3-latin-700.woff2","https://d33wubrfki0l68.cloudfront.net/0c380f0c0586abd74891478bbbc144a0356639f5/403ab/assets/fonts/arya-v3-latin-700.woff2","Unknown","15240","15240","200","134","135","827","828","Fresh Relevance","Fresh Relevance","Analytics","https://d33wubrfki0l68.cloudfront.net/css/dfd93fca984a05b4688e67d9ff2b69b087add44f/assets/css/style.css"
"d33wubrfki0l68.cloudfront.net","/2c07a9656f1e38da408f20f1cf11581a15cbd7a2/b0c4e/assets/fonts/open-sans-v15-latin-regular.woff2","https://d33wubrfki0l68.cloudfront.net/2c07a9656f1e38da408f20f1cf11581a15cbd7a2/b0c4e/assets/fonts/open-sans-v15-latin-regular.woff2","Unknown","14048","14048","200","168","168","861","861","Fresh Relevance","Fresh Relevance","Analytics","https://d33wubrfki0l68.cloudfront.net/css/dfd93fca984a05b4688e67d9ff2b69b087add44f/assets/css/style.css"
